brand,model,tracking,connection,max_dpi,hand_orientation,color,price
g-wolves,ht-m 3360 gray,optical,wired,0.3670886075949367,right,gray,0.0
g-wolves,ht-m 3360 red,optical,wired,0.3670886075949367,right,red,0.0
g-wolves,ht-m 3360 white,optical,wired,0.3670886075949367,right,white,0.0
g-wolves,ht-m 3360 white/blue,optical,wired,0.3670886075949367,right,white / blue,0.0
g.skill,ripjaws mx780,laser,wired,0.2468354430379746,both,black,0.0
gamdias,apollo,optical,wired,0.0886075949367088,right,black,0.0
gamdias,demeter,optical,wired,0.050632911392405,both,black,0.0
gamdias,hades optical extension,optical,wired,0.0886075949367088,both,black,0.0
gamdias,zeus,laser,wired,0.2468354430379746,right,black,0.0
gamdias,zeus p1 rgb,optical,wired,0.3670886075949367,right,black,0.0
