brand,model,bluray_read_speed,dvd_read_speed,cd_read_speed,bluray_write_speed,dvd_write_speed,cd_write_speed,price
sony,ad-7280s-02,0.1666666666666666,0.6470588235294117,0.9230769230769232,6/6/6/4,24/8/12/24/6/12/12,48/32,0.0
sony,ad-7280s-0b,0.1666666666666666,0.6470588235294117,0.9230769230769232,6/6/6/4,24/8/12/24/6/12/12,48/32,0.0
sony,ad-7690h-01,0.1666666666666666,0.1764705882352941,0.0,6/6/6/4,8/8/6/8/6/6/5,24/24,0.0
sony,ad-7710h-01,0.1666666666666666,0.1764705882352941,0.0,6/6/6/4,8/8/6/8/6/6/5,24/24,0.0
sony,ad-7740h-01,0.1666666666666666,0.1764705882352941,0.0,6/6/6/4,8/8/6/8/6/6/5,24/24,0.0
sony,bc-5500h-01,0.0,0.1764705882352941,0.0,6/6/6/4,8/4/4/8/4/4/5,16/10,0.0
sony,bc-5640h-01,0.1666666666666666,0.1764705882352941,0.0,6/6/6/4,8/8/6/8/6/6/5,24/16,0.0
sony,bc5640h-03,0.1666666666666666,0.1764705882352941,0.0,6/6/6/4,8/8/6/8/6/6/5,24/16,0.0
sony,bd-5300s,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
sony,bd-5300s-0b,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,8/8/6/8/6/6/5,24/16,0.0
sony,bd-5740h-01,0.1666666666666666,0.1764705882352941,0.0,6/6/2/2,8/8/6/8/6/6/5,24/16,0.0
sony,bd-5750h,0.1666666666666666,0.1764705882352941,0.0,6/6/2/2,8/8/6/8/6/6/5,24/16,0.0
sony,bwu-500s,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,8/8/6/8/6/6/5,24/16,0.0
sony,ddu1681s-0b,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,8/8/6/8/6/6/5,24/16,0.0
supermicro,dvm-teac-824b,0.3333333333333333,0.1764705882352941,0.0,12/8/2/2,8/8/6/8/6/6/5,24/16,0.0
teac,bd-w512gsa,0.3333333333333333,0.1764705882352941,0.0,12/8/2/2,8/8/6/8/6/6/5,48/24,0.0
teac,dv516e/b/s,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,8/8/6/8/6/6/5,48/24,0.0
teac,dv516e/s,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,8/8/6/8/6/6/5,48/24,0.0
Archgon,CB-5021-GB,6.0,8.0,24.0,6/2/2/2,8/8/6/8/6/6/5,24/4,"['USD', '0.00']"
Archgon,CB-5021-GD,,8.0,24.0,,8/8/6/8/6/6/5,24/24,"['USD', '0.00']"
Asus,BC-06B1ST,6.0,16.0,48.0,6/4/6/4,,48/32,"['USD', '0.00']"
Asus,BC-12B1ST,,,,,16/8/8/16/6/8/12,48/24,"['USD', '0.00']"
Asus,BC-12B1ST/BLK/B/AS,12.0,16.0,48.0,,16/8/8/16/6/8/12,48/24,"['USD', '0.00']"
Asus,BC-12D2HT,,,,12/8/8/6,16/8/8/6/12/8/5,48/24,"['USD', '92.95']"
Asus,BW-12B1ST/BLK/G/AS,8.0,16.0,48.0,12/4/2/2,16/8/8/16/6/8/12,48/24,"['USD', '199.95']"
Asus,BW-14D1XT,12.0,16.0,48.0,14/12/2/2,16/8/8/16/6/8/5,48/24,"['USD', '0.00']"
Asus,BW-16D1HT,12.0,16.0,48.0,16/12/2/2,16/8/8/16/6/8/5,48/24,"['USD', '79.89']"
Asus,DRW-2014L1T,,16.0,48.0,,20/8/8/20/6/8/14,48/32,"['USD', '0.00']"
Asus,DRW-22B2Sb/BLK/B/AS,,16.0,48.0,,22/8/12/22/6/12/12,48/32,"['USD', '0.00']"
Asus,DRW-22B3S/BLK/G/AS,,16.0,48.0,,22/8/12/22/6/12/12,48/24,"['USD', '0.00']"
Asus,DRW-24B1ST/BLK/B/AS,,16.0,48.0,,24/8/12/24/6/12/12,48/32,"['USD', '19.98']"
Asus,DRW-24B3LT,,16.0,48.0,,24/8/12/24/6/12/12,48/24,"['USD', '0.00']"
Asus,DRW-24B3LT/BLK/G/AS,,16.0,48.0,,,48/24,"['USD', '0.00']"
Asus,DRW-24B3ST/BLK/G/AS,,16.0,48.0,,24/8/12/24/6/12/12,48/24,"['USD', '27.98']"
Asus,DRW-24D3ST,,16.0,48.0,,16/13/12/16/8/12/5,48/40,"['USD', '0.00']"
Asus,DRW-24D5MT,,16.0,48.0,,16/13/12/16/8/12/5,48/40,"['USD', '33.02']"
Asus,DRW-24F1MT,,,,,24/8/8/24/6/8/5,48/24,"['USD', '0.00']"
Asus,DRW-24F1ST,,16.0,48.0,,24/8/8/24/6/8/5,48/24,"['USD', '17.98']"
Asus,DVD-E818AAT/BLK/B/GE,,18.0,48.0,,,,"['USD', '33.44']"
Asus,DVD-E818AAT/BLK/B/GEN,,18.0,48.0,,,,"['USD', '37.94']"
Asus,DVDE818A7T/BLK/B/GEN,,18.0,48.0,,16/10/8/16/10/8/5,,"['USD', '0.00']"
Buslink,DBW-1647,,16.0,48.0,,,48/32,"['USD', '0.00']"
EVGA,100-OD-S101-BR,,,,,8/8/6/8/6/6/5,24/24,"['USD', '0.00']"
Gear Head,24XDVDINTLS,,,,,,,"['USD', '0.00']"
HP,1270i,,16.0,48.0,,24/8/12/24/6/12/12,48/32,"['USD', '0.00']"
HP,447326-B21,,16.0,40.0,,,,"['USD', '57.59']"
HP,447328-B21,,16.0,50.0,,,40/32,"['USD', '0.00']"
HP,481041-B21,,8.0,24.0,,,,"['USD', '0.00']"
HP,624192-B21,,,,,16/8/8/16/6/8/5,40/24,"['USD', '0.00']"
HP,652238-B21,,8.0,24.0,,,,"['USD', '0.00']"
HP,AR629AA,,16.0,48.0,,,,"['USD', '43.00']"
HP,DVD1265I,,16.0,48.0,,,48/32,"['USD', '0.00']"
HP,QS208AA,,16.0,48.0,,,48/32,"['USD', '0.00']"
HP,bd340i,8.0,16.0,48.0,12/8/2/2,16/8/8/16/6/8/12,48/24,"['USD', '0.00']"
I/O Magic,IBD1,10.0,16.0,48.0,,,48/24,"['USD', '0.00']"
