brand,model,chipset,vram,core_clock,boost_clock,color,length,price
asus,engt520 silent/di/1gd3(lp),geforce gt 520,{'total': 1000000000},{'cycles': 810000000},{'cycles': 1797000000},black / red,0.3323076923076923,0.0
asus,engt730-sl-2gd3-brk,geforce gt 730,{'total': 2000000000},{'cycles': 902000000},{'cycles': 1797000000},black,0.2092307692307692,0.0
asus,engt740-oc-2gd5,geforce gt 740,{'total': 2000000000},{'cycles': 1033000000},{'cycles': 1797000000},black,0.3199999999999999,0.0
asus,engts250 dk/di/1g,geforce gts 250,{'total': 1000000000},{'cycles': 1033000000},{'cycles': 1797000000},blue / silver,0.3199999999999999,0.0
asus,engts250/di/512md3/ww,geforce gts 250,{'total': 500000000},{'cycles': 675000000},{'cycles': 1797000000},blue,0.5292307692307693,0.0
asus,engts450 dc oc/di/1gd5,geforce gts 450,{'total': 1000000000},{'cycles': 850000000},{'cycles': 1797000000},blue,0.5292307692307693,0.0
asus,engts450 directcu top/di/1gd5,geforce gts 450,{'total': 1000000000},{'cycles': 925000000},{'cycles': 1797000000},blue,0.4523076923076923,0.0
asus,engts450 directcu/di/1gd5,geforce gts 450,{'total': 1000000000},{'cycles': 783000000},{'cycles': 1797000000},blue,0.4523076923076923,0.0
asus,engts450/di/1gd5,geforce gts 450,{'total': 1000000000},{'cycles': 810000000},{'cycles': 1797000000},black / red,0.4,0.0
asus,engtx460 dc top/2di/1gd5/v2,geforce gtx 460,{'total': 1000000000},{'cycles': 775000000},{'cycles': 1797000000},black / red,0.5507692307692308,0.0
asus,engtx460 directcu/2di/1gd5,geforce gtx 460,{'total': 1000000000},{'cycles': 675000000},{'cycles': 1797000000},black / red,0.5507692307692308,0.0
asus,engtx460 directcu/g/2di/1gd5,geforce gtx 460,{'total': 1000000000},{'cycles': 675000000},{'cycles': 1797000000},black / red,0.5507692307692308,0.0
asus,engtx460 directcu top/2di/768md5,geforce gtx 460,{'total': 750000000},{'cycles': 700000000},{'cycles': 1797000000},black / red,0.5261538461538462,0.0
asus,engtx460 se dc/2di/1gd5,geforce gtx 460 se,{'total': 1000000000},{'cycles': 660000000},{'cycles': 1797000000},black / green,0.5292307692307693,0.0
asus,engtx460/2di/768md5,geforce gtx 460,{'total': 750000000},{'cycles': 660000000},{'cycles': 1797000000},black / silver,0.5292307692307693,0.0
asus,engtx465/2di/1gd5,geforce gtx 465,{'total': 1000000000},{'cycles': 607000000},{'cycles': 1797000000},black,0.5692307692307692,0.0
asus,engtx470/2di/1280md5,geforce gtx 470,{'total': 1250000000},{'cycles': 607000000},{'cycles': 1797000000},black,0.5692307692307692,0.0
asus,engtx470/2di/1280md5/v2,geforce gtx 470,{'total': 1250000000},{'cycles': 607000000},{'cycles': 1797000000},black,0.5692307692307692,0.0
asus,engtx480/2di/1536md5,geforce gtx 480,{'total': 1500000000},{'cycles': 607000000},{'cycles': 1797000000},black / silver,0.5692307692307692,0.0
asus,engtx550 ti dc top/di/1gd5,geforce gtx 550 ti,{'total': 1000000000},{'cycles': 975000000},{'cycles': 1797000000},red / black,0.5323076923076923,0.0
asus,engtx550 ti dc/di/1gd5,geforce gtx 550 ti,{'total': 1000000000},{'cycles': 910000000},{'cycles': 1797000000},black / red,0.5323076923076923,0.0
asus,engtx550 ti/di/1gd5,geforce gtx 550 ti,{'total': 1000000000},{'cycles': 900000000},{'cycles': 1797000000},black / red,0.4461538461538461,0.0
asus,engtx560 dc/2di/1gd5,geforce gtx 560,{'total': 1000000000},{'cycles': 810000000},{'cycles': 1797000000},black / red,0.5507692307692308,0.0
asus,engtx560 dcii oc/2di/1gd5,geforce gtx 560,{'total': 1000000000},{'cycles': 850000000},{'cycles': 1797000000},black / red,0.4892307692307692,0.0
asus,engtx560 dcii top/2di/1gd5,geforce gtx 560,{'total': 1000000000},{'cycles': 925000000},{'cycles': 1797000000},black / red,0.4892307692307692,0.0
