brand,model,size,color,rpm,airflow,decibels,pwm,price
Phanteks,F140SP,140.0,Black / White,"{'min': None, 'max': None, 'default': 1200}","{'min': None, 'max': None, 'default': 82.1}","{'min': None, 'max': None, 'default': 19.0}",False,"['USD', '0.00']"
Phanteks,F140TS,140.0,Red,"{'min': 750, 'max': 1200, 'default': None}","{'min': 45.1, 'max': 78.09, 'default': None}","{'min': 13.4, 'max': 19.0, 'default': None}",False,"['USD', '0.00']"
Phanteks,F140XP,140.0,Black / White,"{'min': 600, 'max': 1200, 'default': None}","{'min': 40.9, 'max': 85.19, 'default': None}","{'min': None, 'max': None, 'default': 19.0}",True,"['USD', '17.09']"
Phanteks,F200SP,200.0,Black,"{'min': None, 'max': None, 'default': 850}","{'min': None, 'max': None, 'default': 110.1}","{'min': None, 'max': None, 'default': 25.0}",False,"['USD', '18.98']"
Phanteks,FSK,140.0,Black / White,"{'min': 500, 'max': 1500, 'default': None}",,,True,"['USD', '15.99']"
Phanteks,FSK 3-Pack,140.0,Black / White,"{'min': 500, 'max': 1500, 'default': None}",,,True,"['USD', '44.99']"
Phanteks,PH-F120SK,120.0,Black / White,"{'min': 500, 'max': 1500, 'default': None}","{'min': None, 'max': None, 'default': 50.0}","{'min': None, 'max': None, 'default': 27.0}",True,"['USD', '15.98']"
Prolimatech,Ultra Sleek Vortex,120.0,White,"{'min': 400, 'max': 1300, 'default': None}","{'min': None, 'max': None, 'default': 56.0}","{'min': 7.0, 'max': 13.0, 'default': None}",True,"['USD', '0.00']"
Prolimatech,Vortex,140.0,Black / Silver,"{'min': 900, 'max': 1600, 'default': None}","{'min': 65.0, 'max': 127.0, 'default': None}","{'min': 15.0, 'max': 28.0, 'default': None}",False,"['USD', '0.00']"
RAIJINTEK,IRIS 12 RBW ADD-1,120.0,White / Black,"{'min': 400, 'max': 1800, 'default': None}","{'min': None, 'max': None, 'default': 35.8}","{'min': None, 'max': None, 'default': 28.0}",True,"['USD', '0.00']"
