brand,model,fan_rpm,decibels,color,radiator_size,price
dynatron,r13,"{'min': 1100, 'max': 6000, 'default': none}","{'min': 19.1, 'max': 53.8, 'default': none}",black / silver,0.4,0.0
dynatron,r14,"{'min': 1500, 'max': 7000, 'default': none}","{'min': 16.0, 'max': 47.5, 'default': none}",black / silver,0.4,0.0
dynatron,r15,"{'min': 1500, 'max': 7000, 'default': none}","{'min': 16.0, 'max': 47.5, 'default': none}",black / silver,0.4,0.0
dynatron,r16,"{'min': 1000, 'max': 6000, 'default': none}","{'min': 21.5, 'max': 55.8, 'default': none}",black / silver,0.4,0.0
dynatron,r17,"{'min': 1000, 'max': 2500, 'default': none}","{'min': 17.0, 'max': 31.92, 'default': none}",black / silver,0.4,0.0
dynatron,r19,"{'min': 1000, 'max': 2500, 'default': none}","{'min': 17.0, 'max': 31.92, 'default': none}",black / silver,0.4,0.0
dynatron,r22,"{'min': 1000, 'max': 2500, 'default': none}","{'min': 17.0, 'max': 31.92, 'default': none}",black / silver,0.4,0.0
dynatron,r24,"{'min': 1500, 'max': 7000, 'default': none}","{'min': 16.0, 'max': 47.5, 'default': none}",black / silver,0.4,0.0
dynatron,r25,"{'min': 1000, 'max': 7000, 'default': none}","{'min': 21.5, 'max': 59.14, 'default': none}",black / silver,0.4,0.0
dynatron,r27,"{'min': 1000, 'max': 3800, 'default': none}","{'min': 16.0, 'max': 43.4, 'default': none}",black / silver,0.4,0.0
dynatron,r4,"{'min': 1000, 'max': 3800, 'default': none}","{'min': 16.0, 'max': 43.4, 'default': none}",black / silver,0.4,0.0
dynatron,r8,"{'min': 1000, 'max': 3800, 'default': none}","{'min': 16.0, 'max': 43.4, 'default': none}",black / silver,0.4,0.0
dynatron,r9,"{'min': 1000, 'max': 4500, 'default': none}","{'min': 13.14, 'max': 45.9, 'default': none}",black / silver,0.4,0.0
dynatron,t195,"{'min': 1000, 'max': 5000, 'default': none}","{'min': 20.5, 'max': 49.8, 'default': none}",black / silver,0.4,0.0
dynatron,t318,"{'min': 1000, 'max': 5000, 'default': none}","{'min': none, 'max': none, 'default': 0.0}",black / silver,0.4,0.0
dynatron,t450,"{'min': 800, 'max': 2500, 'default': none}","{'min': 16.0, 'max': 27.3, 'default': none}",black / silver,0.4,0.0
dynatron,t459,"{'min': 800, 'max': 2500, 'default': none}","{'min': 16.0, 'max': 27.3, 'default': none}",black / silver,0.4,0.0
dynatron,t860,"{'min': 2000, 'max': 6000, 'default': none}","{'min': 20.23, 'max': 44.88, 'default': none}",black / silver,0.4,0.0
ek,ek-aio 120 d-rgb,"{'min': 450, 'max': 2600, 'default': none}","{'min': none, 'max': none, 'default': 36.4}",black,0.0,0.0
ek,ek-aio 240 d-rgb,"{'min': 450, 'max': 2600, 'default': none}","{'min': none, 'max': none, 'default': 36.4}",black,0.4,0.0
ek,ek-aio 360 d-rgb,"{'min': 450, 'max': 2600, 'default': none}","{'min': none, 'max': none, 'default': 36.4}",black,0.8000000000000002,0.0
evga,acx,"{'min': none, 'max': none, 'default': 2800}","{'min': none, 'max': none, 'default': 42.5}",black,0.8000000000000002,0.0
evga,acx mitx,"{'min': 800, 'max': 2800, 'default': none}","{'min': none, 'max': none, 'default': 33.4}",black,0.8000000000000002,0.0
evga,clc 120,"{'min': 500, 'max': 2400, 'default': none}","{'min': 16.0, 'max': 39.9, 'default': none}",black,0.0,0.0
evga,clc 120 cl11,"{'min': none, 'max': none, 'default': 1800}","{'min': none, 'max': none, 'default': 32.1}",black,0.0,0.0
evga,clc 240,"{'min': 500, 'max': 2400, 'default': none}","{'min': 16.0, 'max': 39.9, 'default': none}",black,0.4,0.0
evga,clc 280,"{'min': 600, 'max': 2200, 'default': none}","{'min': 16.0, 'max': 39.5, 'default': none}",black,0.5333333333333333,0.0
evga,clc 360,"{'min': 500, 'max': 2400, 'default': none}","{'min': 16.0, 'max': 39.9, 'default': none}",black,0.8000000000000002,0.0
evga,m020-00-000234,"{'min': 750, 'max': 2500, 'default': none}","{'min': 13.2, 'max': 41.5, 'default': none}",black,0.8000000000000002,0.0
enermax,aquafusion 120,"{'min': 500, 'max': 2000, 'default': none}","{'min': 17.0, 'max': 32.6, 'default': none}",black,0.0,0.0
enermax,aquafusion 240,"{'min': 500, 'max': 2000, 'default': none}","{'min': 17.0, 'max': 32.6, 'default': none}",black,0.4,0.0
enermax,elc-lm120s-hp,"{'min': none, 'max': none, 'default': 2500}","{'min': none, 'max': none, 'default': 30.0}",black,0.0,0.0
enermax,elc-lm120s-taa,"{'min': none, 'max': none, 'default': 2500}","{'min': none, 'max': none, 'default': 30.0}",black,0.0,0.0
enermax,elc120-ta,"{'min': 800, 'max': 2200, 'default': none}","{'min': 18.5, 'max': 32.8, 'default': none}",black,0.0,0.0
enermax,elc120-tb,"{'min': 800, 'max': 2200, 'default': none}","{'min': 17.3, 'max': 31.2, 'default': none}",black,0.0,0.0
enermax,etd-t60-tb,"{'min': 800, 'max': 1800, 'default': none}","{'min': 10.0, 'max': 21.0, 'default': none}",black,0.0,0.0
enermax,etd-t60-vd,"{'min': 800, 'max': 1800, 'default': none}","{'min': 16.0, 'max': 21.0, 'default': none}",black,0.0,0.0
enermax,ets-n30-he,"{'min': 800, 'max': 2800, 'default': none}","{'min': 16.0, 'max': 28.0, 'default': none}",black,0.0,0.0
