brand,model,capacity,price_per_gb,storage_type,platter_rpm,cache_amount,form_factor,interface,price
Seagate,Surveillance HDD,{'total': 1000000000000},"['USD', '0.273']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '273.00']"
Silicon Power,A55,{'total': 1000000000000},"['USD', '0.090']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '89.99']"
Silicon Power,A60,{'total': 1000000000000},"['USD', '0.093']",SSD,,,M.2-2280,M.2 (M),"['USD', '92.99']"
Silicon Power,A80,{'total': 1000000000000},"['USD', '0.115']",SSD,,,M.2-2280,M.2 (M),"['USD', '114.99']"
Silicon Power,Ace A55,{'total': 256000000000},"['USD', '0.109']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '27.99']"
Silicon Power,Ace A56,{'total': 256000000000},"['USD', '0.00']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Silicon Power,S55,{'total': 120000000000},"['USD', '0.00']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Silicon Power,S60,{'total': 480000000000},"['USD', '0.154']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '74.13']"
Silicon Power,S70,{'total': 480000000000},"['USD', '0.00']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Silicon Power,SP001TBP34A80M28,{'total': 1000000000000},"['USD', '0.120']",SSD,,,M.2-2280,M.2 (M),"['USD', '119.99']"
Silicon Power,SSD Slim S60 Upgrade Kit,{'total': 120000000000},"['USD', '0.00']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Silicon Power,SU128GBSS3A55S25AE,{'total': 128000000000},"['USD', '0.148']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '18.99']"
Silicon Power,SU256GBSS3A55M28AB,{'total': 256000000000},"['USD', '0.00']",SSD,,,M.2-2280,M.2 (B+M),"['USD', '0.00']"
Silicon Power,SU256GBSS3A55S25AE,{'total': 256000000000},"['USD', '0.00']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Silicon Power,SU512GBP34A80M28AB,{'total': 512000000000},"['USD', '0.00']",SSD,,,M.2-2280,M.2 (M),"['USD', '0.00']"
Silicon Power,Silm S55,{'total': 480000000000},"['USD', '0.00']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Silicon Power,Slim S55,{'total': 240000000000},"['USD', '0.151']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '36.20']"
Silicon Power,Slim S80,{'total': 960000000000},"['USD', '0.00']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Silicon Power,US70,{'total': 1000000000000},"['USD', '0.00']",SSD,,,M.2-2280,M.2 (M),"['USD', '0.00']"
Sony,Optiarc,{'total': 480000000000},"['USD', '0.125']",SSD,,,"2.5""",SATA 6 Gb/s,"['USD', '59.95']"
Super Talent,FE8256MD2D,{'total': 256000000000},"['USD', '1.253']",SSD,,,"2.5""",PATA 133,"['USD', '320.70']"
Supermicro,HDD-T4000-ST4000NM00,{'total': 4000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
